Laptop_Name,Model_Name,Laptop_Gen,Ram,Rom,Color,Weight_In_Kg,Core,Price,Rating,Display_Size,OS
DELL,Inspiron ,13th Gen,8 GB,512 GB,Black,1.64,AMD Ryzen 3,29990,4,15.6,Windows 11
DELL,15 Intel Core i5 ,13th Gen,16 GB,512 GB,Grey,1.66,Intel Core i5,57990,3.5,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.66,Intel Core i5,34500,4.6,15.6,Windows 11
LENOVO,V15 G4 AMD Athlon ,13th Gen,8 GB,512 GB,Silver,1.58,AMD Athlon Silver,25979,4.1,15.6,Windows 11
DELL,SmartChoice ,13th Gen,6 GB,512 GB,Grey,1.64,Intel Core i5,77490,4,15.6,Windows 11
PRIMEBOOK,2 Max 2025 ,13th Gen,8 GB,512 GB,Gray,1.62,MediaTek Helio G99,19990,4.4,19.58,Android 15
PRIMEBOOK,2 Pro 2025 ,13th Gen,8 GB,512 GB,Gray,1.62,MediaTek Helio G99,17990,4.5,19.58,Android 15
HP,Vivobook ,13th Gen,8 GB,512 GB,Silver,1.59,AMD Ryzen 3,30990,4,15.6,Windows 11
HP,Vivobook ,12th Gen,8 GB,512 GB,Silver,1.69,Intel Core i3,32990,4,15.6,Windows 11
ACER,Aspire ,13th Gen,8 GB,512 GB,Gray,1.59,AMD Ryzen 3,27999,3.8,15.6,Windows 11
DELL,Inspiron ,13th Gen,16 GB,512 GB,Silver,1.62,Intel Core i5,59990,3.8,15.6,Windows 11
DELL,Inspiron ,13th Gen,16 GB,512 GB,Grey,1.64,Intel Core i3,40990,3.7,15.6,Windows 11
ACER,Aspire 3 12th Gen ,12th Gen,8 GB,512 GB,Silver,1.67,Intel Core i3,29990,4,15.6,Windows 11
ASUS,Vivobook 15 ,13th Gen,16 GB,512 GB,Blue,1.61,AMD Ryzen 7,44900,3.9,15.6,Windows 11
LENOVO,IdeaPad Slim 3 13th ,13th Gen,16 GB,512 GB,Grey,1.58,Intel Core i5,53999,4,15.3,Windows 11
HP,Vivobook ,13th Gen,12 GB,512 GB,Silver,1.59,Intel Core i3,37990,4,39.6,Windows 11
LENOVO,V15 G4 AMD Ryzen ,13th Gen,16 GB,512 GB,Grey,1.58,AMD Ryzen 5,34990,4,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.65,Intel Ultra 5,64490,4,39.6,Windows 11
DELL,Inspiron ,13th Gen,16 GB,512 GB,Silver,1.64,AMD Ryzen 7,50005,3.7,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.59,Intel Core i5,52490,3.8,39.6,Windows 11
ASUS,Vivobook ,13th Gen,16 GB,512 GB,Blue,1.7,Intel Core i5,53990,4,15.6,Windows 11
ACER,Aspire 3 12th Gen ,12th Gen,16 GB,512 GB,Silver,1.67,Intel Core i3,29990,4,15.6,Windows 11
HP,Vivobook ,13th Gen,12 GB,512 GB,Silver,1.59,Intel Core i5,47990,3.7,39.6,Windows 11
LENOVO,IdeaPad Slim ,12th Gen,16 GB,512 GB,Grey,1.58,Intel Core i5,46400,4.3,15.6,Windows 11
DELL,Inspiron ,13th Gen,16 GB,512 GB,Silver,1.67,AMD Ryzen 5,42990,4.1,15.6,Windows 11
ACER,SmartChoice Aspire ,13th Gen,16 GB,512 GB,Gray,1.59,AMD Ryzen 5,34490,3.8,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.59,AMD Ryzen 5,42092,4,39.6,Windows 11
ASUS,Vivobook ,13th Gen,16 GB,512 GB,Blue,1.61,AMD Ryzen 7,45990,3.9,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.4,AMD Ryzen 3,32990,5,14,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.5,Intel Core i5,53999,5,15.6,Windows 11
ACER,Aspire 3 ,13th Gen,16 GB,512 GB,Silver,1.67,Intel Core i5,41490,3.5,15.6,Windows 11
LENOVO,Yoga Slim 7 ,13th Gen,16 GB,512 GB,Grey,1.58,Intel Core i5,102490,4.2,35.5,Windows 11
LENOVO,14,13th Gen,4 GB,512 GB,Grey,1.58,AMD Ryzen 5,63290,4.2,15.6,Windows 11
LENOVO,14,13th Gen,6 GB,512 GB,Grey,1.58,AMD Ryzen 5,68790,4.2,15.6,Windows 11
ASUS,Vivobook ,13th Gen,16 GB,512 GB,Blue,1.88,AMD Ryzen 7,52990,4.3,16,Windows 11
HP,Vivobook ,13th Gen,4 GB,512 GB,Blue,2.29,Intel Core i5,67990,3.7,39.6,Windows 11
MSI,Katana ,14th Gen,16 GB,512 GB,Black,1.62,Intel Core i5,109990,4.7,40,Windows 11
LENOVO,Smartchoice Yoga Slim 7 ,13th Gen,32 GB,512 GB,Grey,1.58,Intel Core i5,147880,4.2,15,Windows 11
JIOBOOK,11 with Lifetime Office ,13th Gen,4 GB,512 GB,Blue,1.62,Intel Core i5,10990,3,11.6,Android 4
LENOVO,IdeaPad Slim 1 AMD ,13th Gen,16 GB,512 GB,Grey,1.58,AMD Ryzen 7,39699,3.8,15.6,Windows 11
LENOVO,14,13th Gen,4 GB,64 GB,Blue,1.58,Intel Celeron,13490,3.8,11.6,Chrome OS
HP,Vivobook ,13th Gen,8 GB,512 GB,Grey,1.36,AMD Ryzen 5,29490,3.7,14,Windows 11
DELL,Inspiron ,13th Gen,16 GB,512 GB,Blue,1.64,AMD Radeon,68990,3.6,16,Windows 11
ACER,Aspire ,13th Gen,16 GB,512 GB,Gray,1.59,Intel Core i5,46990,3.7,15.6,Windows 11
PRIMEBOOK,2 Neo 2025 ,13th Gen,6 GB,512 GB,Gray,1.62,MediaTek Helio G99,14990,4.5,19.58,Android 15
ACER,Nitro V ,13th Gen,6 GB,512 GB,Black,2.1,AMD Ryzen 5,74990,4.6,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.59,Intel Core i5,58800,3.8,39.6,Windows 11
LENOVO,V15 Intel Core i3 ,13th Gen,16 GB,512 GB,Grey,1.65,Intel Core i3,36990,3.7,15.6,Windows 11
ACER,SmartChoice ,13th Gen,6 GB,512 GB,Gray,1.99,Intel Core i5,62990,3.8,15.6,Windows 11
HP,Vivobook ,13th Gen,4 GB,256 GB,Silver,1.66,Intel Core i5,23385,3.8,24.28,Windows 11
ASUS,TUF A15 ,13th Gen,16 GB,512 GB,Black,1.61,AMD Ryzen 7,68990,4.1,15.6,Windows 11
ASUS,Gaming V16 ,14th Gen,6 GB,512 GB,Black,1.61,AMD Ryzen 7,86990,3.9,15.28,Windows 11
SAMSUNG,Galaxy Book4 ,12th Gen,16 GB,512 GB,Gray,1.62,Intel Core i5,52800,4,15.6,Windows 11
HP,Vivobook ,13th Gen,4 GB,128 GB,Black,1.66,Intel Core i5,24499,4.2,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.5,AMD Ryzen 5,37990,4.01724137931034,15.6,Windows 11
LENOVO,V15 G4 ,13th Gen,8 GB,512 GB,Grey,1.57,AMD Ryzen 3,28990,3.9,15.6,Windows 11
ACER,Aspire 3 ,13th Gen,24 GB,512 GB,Silver,1.67,Intel Core i3,33990,3.4,15.6,Windows 11
HP,Vivobook ,12th Gen,16 GB,512 GB,Silver,1.66,Intel Core i5,59387,4,39.6,Windows 11
HP,Vivobook ,13th Gen,32 GB,512 GB,Silver,1.5,Intel Core i5,57900,1,15.6,Windows 11
LENOVO,14,13th Gen,24 GB,512 GB,Grey,1.4,Intel Core i3,37750,1,14,Windows 11
LENOVO,V14 G4 ,13th Gen,16 GB,512 GB,Grey,1.57,Intel Core i3,32890,3.4,14,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Grey,1.4,Intel Core i5,51900,3,14,Windows 11
HP,Vivobook ,13th Gen,8 GB,512 GB,Silver,1.66,Intel Core i7,113490,5,15.6,Windows 11
LENOVO,IdeaPad Slim 3 12th ,12th Gen,16 GB,512 GB,Grey,1.58,Intel Core i5,46475,3.9,15.6,Windows 11
HP,Vivobook ,13th Gen,8 GB,512 GB,Silver,2.29,Intel Core i7,103990,3.9,39.6,Windows 11
HP,Vivobook ,13th Gen,4 GB,128 GB,Black,1.66,Intel Core i5,23150,2.9,15.6,Windows 11
DELL,Inspiron ,13th Gen,16 GB,512 GB,Black,1.62,Intel Core i5,47590,2.9,15.6,Windows 11
LENOVO,V15 AMD Ryzen 7 ,13th Gen,16 GB,512 GB,Grey,1.58,AMD Ryzen 7,42490,4.1,15.6,Windows 11
ASUS,TUF Gaming F15 13th ,13th Gen,6 GB,512 GB,Gray,1.61,Intel Core i7,92990,3.8,15.6,Windows 11
LENOVO,IdeaPad Slim ,13th Gen,16 GB,512 GB,Grey,1.58,Intel Core i7,63200,4.1,15,Windows 11
ASUS,Vivobook ,13th Gen,12 GB,512 GB,Silver,1.61,Intel Core i3,37990,4.5,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.59,Intel Core i5,51990,3.8,39.6,Windows 11
LENOVO,IdeaPad Slim 3 Intel ,12th Gen,8 GB,512 GB,Grey,1.58,Intel Core i3,33490,4,15.6,Windows 11
LENOVO,14,13th Gen,24 GB,512 GB,Grey,1.4,Intel Core i5,48315,1,14,Windows 11
ASUS,Vivobook ,14th Gen,16 GB,512 GB,Silver,1.61,AMD Ryzen 7,49990,3.9,15.28,Windows 11
ACER,Aspire ,13th Gen,8 GB,128 GB,Silver,1.6,Intel Celeron,19990,3.7,15.6,Chrome OS
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.59,AMD Ryzen 7,48990,4,39.6,Windows 11
ULTIMUS,APEX Laptop Intel Celeron ,13th Gen,8 GB,512 GB,Silver,1.25,Intel Celeron,17390,3.6,19.58,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.5,AMD Radeon,47999,4.7,15.6,Windows 11
DELL,Inspiron ,13th Gen,16 GB,512 GB,Silver,1.62,Intel Core i7,67490,3.9,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.51,Intel Core i5,67990,3.7,14,Windows 11
HP,Vivobook ,13th Gen,8 GB,512 GB,Blue,1.66,AMD Ryzen 9,98990,3.8,15.6,Windows 11
ASUS,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.88,AMD Ryzen 7,52990,4.3,16,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.66,AMD Ryzen 50,42400,4.1,15.6,Windows 11
LENOVO,Smartchoice Ideapad Slim 3 ,13Th Gen,16 GB,512 GB,Grey,1.58,Intel Core I7,65990,4,15.3,Windows 11
LENOVO,14,13th Gen,16 GB,512 GB,Grey,1.4,Intel Core i5,46297,3.81269841269841,14,Windows 11
ASUS,Vivobook ,13th Gen,16 GB,512 GB,Blue,1.61,Intel Core i7,68990,3.8,15.6,Windows 11
LENOVO,IdeaPad Slim 3 13th ,13th Gen,24 GB,512 GB,Grey,1.58,Intel Core i5,62990,4.3,15.3,Windows 11
LENOVO,ThinkBook 16 AMD Ryzen ,13th Gen,16 GB,512 GB,Grey,1.7,AMD Ryzen 7,52990,4,16,Windows 11
LENOVO,IdeaPad ,13th Gen,8 GB,512 GB,Grey,1.58,Intel Core i5,25990,3.8,15.6,Windows 11
ASUS,Vivobook Go ,13th Gen,8 GB,512 GB,Black,1.38,AMD Ryzen 3,30990,4,14,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.59,Intel Core i7,63990,4,39.6,Windows 11
LENOVO,ThinkBook 16 AMD Ryzen ,13th Gen,16 GB,512 GB,Grey,1.7,AMD Ryzen 7,48990,3.4,16,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Black,1.66,Intel Core i5,1069,4.3,24.28,Windows 11
LENOVO,Tab Plus with Octa ,13th Gen,8 GB,512 GB,Grey,1.58,Intel Core i5,18998,4.5,11.5,Android 14
ASUS,Vivobook Go ,13th Gen,8 GB,512 GB,Black,1.61,AMD Ryzen 3,30990,4.4,15.6,Windows 11
ACER,Aspire 3 ,13th Gen,16 GB,512 GB,Silver,1.67,Intel Core i3,32530,3.2,15.6,Windows 11
HP,Vivobook ,13th Gen,32 GB,512 GB,Silver,1.66,Intel Core i5,55959,5,14,Windows 11
ASUS,Vivobook ,13th Gen,8 GB,512 GB,Blue,1.61,Intel Core i3,35990,4,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.59,Intel Core i5,48805,5,15.6,Windows 11
LENOVO,V15 AMD Ryzen 3 ,13th Gen,8 GB,512 GB,Grey,1.58,AMD Ryzen 3,28990,3.9,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.66,Intel Core i5,54150,5,14,Windows 11
HP,Vivobook ,13th Gen,4 GB,256 GB,Grey,1.5,Intel Core i5,35870,4.1,15.6,Windows 11
LENOVO,V15 AMD Ryzen 3 ,13th Gen,8 GB,512 GB,Grey,1.58,AMD Ryzen 3,28990,4,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.59,Intel Core i5,54990,3.8,39.6,Windows 11
LENOVO,ThinkBook 16 AMD Ryzen ,13th Gen,16 GB,512 GB,Grey,1.7,AMD Ryzen 5,46490,3.8,16,Windows 11
ACER,Aspire 3 Intel Core ,13th Gen,8 GB,512 GB,Gray,1.45,Intel Core i3,27990,4,35.56,Windows 11
HP,Vivobook ,13th Gen,8 GB,512 GB,Silver,1.59,AMD Ryzen 3,32490,4,39.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Grey,1.4,Intel Core i5,50350,5,14,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.66,AMD Ryzen 50,42416,4.1,15.6,Windows 11
HP,Vivobook ,13th Gen,8 GB,512 GB,Silver,1.66,Intel Core i5,48350,5,14,Windows 11
MICROSOFT,New Surface Pro ,11th Gen,16 GB,256 GB,Black,1.62,Intel Core i5,89990,2.5,12,Windows 11
LENOVO,14,13th Gen,16 GB,512 GB,Grey,1.4,Intel Core i3,33490,1,14,Windows 11
